nifi1_component,nifi2_equivalent,status,property_changes,recommended_config,examples,source_doc
DeleteAzureDataLakeStorage,DeleteAzureDataLakeStorage,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-azure-nar bundle coordinates need updates in flow.json.gz.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.DeleteAzureDataLakeStorage/"
DeleteByQueryElasticsearch,DeleteByQueryElasticsearch,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-elasticsearch-restapi-nar bundle coordinates need updates in flow.json.gz.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-elasticsearch-restapi-nar/2.0.0-M3/org.apache.nifi.processors.elasticsearch.DeleteByQueryElasticsearch/"
DeleteDynamoDB,DeleteDynamoDB,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-aws-nar bundle coordinates need updates in flow.json.gz.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-aws-nar/2.0.0-M3/org.apache.nifi.processors.aws.dynamodb.DeleteDynamoDB/"
DeleteGCSObject,DeleteGCSObject,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-gcp-nar bundle coordinates need updates in flow.json.gz.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-gcp-nar/2.0.0-M3/org.apache.nifi.processors.gcp.storage.DeleteGCSObject/"
DeleteGridFS,DeleteGridFS,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-mongodb-nar bundle coordinates need updates in flow.json.gz. Ensure MongoDBClientService is compatible.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-mongodb-nar/2.0.0-M3/org.apache.nifi.processors.mongodb.DeleteGridFS/"
DeleteHBaseCells,DeleteHBaseCells,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-hbase-nar bundle coordinates need updates in flow.json.gz.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-hbase-nar/2.0.0-M3/org.apache.nifi.processors.hbase.DeleteHBaseCells/"
DeleteHBaseRow,DeleteHBaseRow,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-hbase-nar bundle coordinates need updates in flow.json.gz.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-hbase-nar/2.0.0-M3/org.apache.nifi.processors.hbase.DeleteHBaseRow/"
DeleteHDFS,DeleteHDFS,active,"No direct property changes. The nifi-hadoop-nar may not be included by default.","Ensure nifi-hadoop-nar is present in the extensions directory. Review environment for Java 21 and Parameter Contexts usage.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-hadoop-nar/2.0.0-M3/org.apache.nifi.processors.hadoop.DeleteHDFS/"
DeleteMongo,DeleteMongo,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-mongodb-nar bundle coordinates need updates in flow.json.gz. Ensure MongoDBClientService is compatible.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-mongodb-nar/2.0.0-M3/org.apache.nifi.processors.mongodb.DeleteMongo/"
DeleteRethinkDB,-,removed,"Processor removed in NiFi 2.0.","No direct replacement. Consider alternative database deletion methods or custom solutions.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
DeleteS3Object,DeleteS3Object,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-aws-nar bundle coordinates need updates in flow.json.gz.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-aws-nar/2.0.0-M3/org.apache.nifi.processors.aws.s3.DeleteS3Object/"
DetectTextSentiment,-,removed,"No direct mention found in NiFi 2.0 migration guides. Likely removed or replaced.","Investigate if a custom processor or a different approach for sentiment analysis is needed.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
ExecuteAWSPredictiveQuery,-,removed,"No direct mention found in NiFi 2.0 migration guides. Likely removed or replaced.","Investigate if a custom processor or a different approach for AWS predictive queries is needed.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
ExecuteBatchGetDynamoDB,ExecuteBatchGetDynamoDB,active,"No direct property changes. Possible AWS SDK v2 upgrade.","Review environment (Java 21, etc.) and check if nifi-aws-nar bundle coordinates need updates in flow.json.gz. Be aware of potential changes due to AWS SDK v2.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-aws-nar/2.0.0-M3/org.apache.nifi.processors.aws.dynamodb.ExecuteBatchGetDynamoDB/"
ExecuteBatchWriteDynamoDB,PutDynamoDBRecord,replaced,"No direct property changes. Replaced by PutDynamoDBRecord for enhanced functionality.","Replace with PutDynamoDBRecord. Review environment (Java 21, etc.) and check if nifi-aws-nar bundle coordinates need updates in flow.json.gz. Be aware of potential changes due to AWS SDK v2.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-aws-nar/2.0.0-M3/org.apache.nifi.processors.aws.dynamodb.PutDynamoDBRecord/"
ExecuteCouchbaseQuery,ExecuteCouchbaseQuery,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-couchbase-nar bundle coordinates need updates in flow.json.gz. Ensure CouchbaseClusterService is compatible.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-couchbase-nar/2.0.0-M3/org.apache.nifi.processors.couchbase.ExecuteCouchbaseQuery/"
ExecuteFlumeCommand,-,removed,"Processor removed in NiFi 2.0.","No direct replacement. Consider using ExecuteStreamCommand, ExecuteProcess, or custom Python processors.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
ExecuteGCSQL,-,removed,"No direct mention found in NiFi 2.0 migration guides. Likely a custom processor or replaced by generic ExecuteSQL.","Use ExecuteSQL with a DBCPConnectionPool configured for Google Cloud SQL.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
ExecuteHQL,-,removed,"All Hive-related components, including ExecuteHQL, have been removed in NiFi 2.0.","No direct replacement. Consider using ExecuteSQL for standard SQL or ExecuteScript for complex Hive interactions.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
ExecuteHiveStreaming,-,removed,"All Hive-related components, including ExecuteHiveStreaming, have been removed in NiFi 2.0.","No direct replacement. Consider using ExecuteSQL for standard SQL or ExecuteScript for complex Hive interactions.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
ExecuteJMS,ConsumeJMS / PublishJMS,replaced,"Functionality likely absorbed by ConsumeJMS and PublishJMS. Review JMS provider compatibility (e.g., Jakarta messaging).","Migrate to ConsumeJMS for consuming messages and PublishJMS for publishing messages. Ensure your JMS provider is compatible with NiFi 2.0 requirements.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-jms-nar/2.0.0-M3/org.apache.nifi.jms.processors.ConsumeJMS/"
ExecuteProcess,ExecuteProcess,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Considerar la nueva integración nativa de Python si se ejecutan scripts Python. Migrar el uso de Variable Registry a Parameter Contexts.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ExecuteProcess/"
ExecuteSQL,ExecuteSQL,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar que los drivers JDBC utilizados por el servicio `DBCPConnectionPool` sean compatibles con Java 21. Revisar la configuración del `DBCPConnectionPool`.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ExecuteSQL/"
ExecuteSQLRecord,ExecuteSQLRecord,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar que los Record Writers utilizados sean compatibles con NiFi 2.0 y Java 21. Considerar el proceso general de migración de flujos.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ExecuteSQLRecord/"
ExecuteStreamCommand,ExecuteStreamCommand,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar que los scripts o comandos externos ejecutados sean compatibles con el runtime de Java 21.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ExecuteStreamCommand/"
FetchDistributedCache,FetchDistributedCache,changed,"Los servicios de controlador asociados `DistributedMapCacheServer` y `DistributedMapCacheClientService` han sido renombrados a `MapCacheServer` y `MapCacheClientService` respectivamente.","Actualizar las referencias a los servicios de controlador renombrados. Puede ser necesario crear un nuevo `MapCacheClientService` para cada procesador `PutDistributedMapCache` y `FetchDistributedMapCache`.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.FetchDistributedCache/"
FetchDistributedMapCache,FetchDistributedMapCache,changed,"Los servicios de controlador asociados `DistributedMapCacheServer` y `DistributedMapCacheClientService` han sido renombrados a `MapCacheServer` y `MapCacheClientService` respectivamente.","Actualizar las referencias a los servicios de controlador renombrados. Puede ser necesario crear un nuevo `MapCacheClientService` para cada procesador `PutDistributedMapCache` y `FetchDistributedMapCache`.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.FetchDistributedMapCache/"
FetchFTP,FetchFTP,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.FetchFTP/"
FetchGCSObject,FetchGCSObject,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-gcp-nar/2.0.0-M3/org.apache.nifi.processors.gcp.storage.FetchGCSObject/"
FetchHBaseRow,FetchHBaseRow,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0. Asegurar la compatibilidad de los servicios de controlador de HBase.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-hbase-nar/2.0.0-M3/org.apache.nifi.processors.hbase.FetchHBaseRow/"
FetchHDFS,FetchHDFS,changed,"No cambios directos en las propiedades. La funcionalidad principal se mantiene. Posibles cambios en las coordenadas del bundle `nifi-hadoop-nar` y configuración de Kerberos.","Revisar la compatibilidad del entorno con Java 21. Actualizar las referencias a las coordenadas del bundle `nifi-hadoop-nar` si es necesario. Centralizar la configuración de Kerberos usando `KerberosUserService`.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-hadoop-nar/2.0.0-M3/org.apache.nifi.processors.hadoop.FetchHDFS/"
FetchMongo,FetchMongo,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar que los drivers de MongoDB sean compatibles con NiFi 2.0 y la versión de MongoDB utilizada. Seguir las guías generales de migración de NiFi 2.0.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-mongodb-nar/2.0.0-M3/org.apache.nifi.processors.mongodb.FetchMongo/"
FetchS3Object,FetchS3Object,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0. Asegurar que las credenciales de AWS y la configuración de S3 sean compatibles.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-aws-nar/2.0.0-M3/org.apache.nifi.processors.aws.s3.FetchS3Object/"
FetchSFTP,FetchSFTP,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0. Asegurar que la configuración de SFTP (credenciales, host, puerto) sea compatible.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.FetchSFTP/"
FetchSQL,N/A,removed / not applicable,"No existe un procesador directo llamado `FetchSQL`. La funcionalidad de consulta SQL se maneja con otros procesadores.","Utilizar procesadores como `ExecuteSQL`, `QueryDatabaseTable`, `GenerateTableFetch`, `ListDatabaseTables`, `QueryDatabaseTableRecord` o `PutDatabaseRecord` para interactuar con bases de datos. Asegurar la compatibilidad con Java 21 y los drivers JDBC.","N/A","N/A"
GenerateFlowFile,GenerateFlowFile,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0. Si el procesador utiliza variables, migrar a Parameter Contexts.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.GenerateFlowFile/"
GenerateRecord,GenerateRecord,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0. Si el procesador utiliza variables, migrar a Parameter Contexts. Asegurar la compatibilidad de los Record Writers utilizados.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.GenerateRecord/"
GetAMQP,ConsumeAMQP,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0. Asegurar que las librerías cliente de AMQP sean compatibles.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-amqp-nar/2.0.0-M3/org.apache.nifi.processors.amqp.ConsumeAMQP/"
GetAzureBlobStorage,GetAzureBlobStorage_v12,deprecated,"El procesador original `GetAzureBlobStorage` está obsoleto debido a la actualización de los SDK de Azure. La gestión de credenciales se centraliza a través de `AzureStorageCredentialsControllerService`.","Reemplazar por `GetAzureBlobStorage_v12` y configurar un `AzureStorageCredentialsControllerService` compartido para la gestión de credenciales. Revisar la compatibilidad del entorno con Java 21.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.GetAzureBlobStorage_v12/"
GetAzureDataLakeStorage,GetAzureDataLakeStorage,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene. La gestión de credenciales probablemente se centralice a través de `AzureStorageCredentialsControllerService`.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0. Configurar un `AzureStorageCredentialsControllerService` para la gestión de credenciales.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.GetAzureDataLakeStorage/"
GetAzureEventHub,ConsumeAzureEventHub,deprecated,"El procesador `GetAzureEventHub` sigue disponible pero se recomienda `ConsumeAzureEventHub` por su fiabilidad mejorada y manejo eficiente en entornos de clúster.","Migrar a `ConsumeAzureEventHub` para aprovechar el seguimiento de puntos de control fiable y la distribución eficiente de mensajes en entornos de clúster. Revisar la compatibilidad del entorno con Java 21.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.eventhub.ConsumeAzureEventHub/"
GetAzureQueueStorage,GetAzureQueueStorage_v12,deprecated,"El procesador `GetAzureQueueStorage` está obsoleto. Se recomienda `GetAzureQueueStorage_v12`.","Migrar a `GetAzureQueueStorage_v12` para asegurar la compatibilidad y aprovechar las últimas características del SDK de Azure. Revisar la compatibilidad del entorno con Java 21.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.GetAzureQueueStorage_v12/"
GetAzureTableStorage,N/A,removed / not applicable,"No se menciona un procesador directo `GetAzureTableStorage` en NiFi 2.0. La funcionalidad puede ser cubierta por procesadores genéricos de base de datos con un driver JDBC.","Utilizar procesadores genéricos de base de datos como `QueryDatabaseTable` o `ExecuteSQL` con un driver JDBC para Azure Table Storage (ej. CData JDBC Driver). Revisar la compatibilidad del entorno con Java 21.","N/A","N/A"
GetDynamoDB,GetDynamoDB,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0. Asegurar que las credenciales de AWS y la configuración de DynamoDB sean compatibles.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-aws-nar/2.0.0-M3/org.apache.nifi.processors.aws.dynamodb.GetDynamoDB/"
GetFile,GetFile,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.GetFile/"
GetFTP,GetFTP,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0. Considerar el uso del patrón `ListFTP` + `FetchFTP` para una ingestión más controlada.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M2/components/org.apache.nifi/nifi-standard-nar/2.0.0-M2/org.apache.nifi.processors.standard.GetFTP/"
GetGCSObject,FetchGCSObject,replaced,"El procesador `GetGCSObject` ha sido reemplazado por `FetchGCSObject` para una gestión más eficiente y controlada de la obtención de objetos de Google Cloud Storage.","Migrar a `FetchGCSObject`. Se recomienda usarlo en conjunto con `ListGCSObject` para listar y luego obtener los objetos de GCS. Revisar la compatibilidad del entorno con Java 21.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M2/components/org.apache.nifi/nifi-gcp-nar/2.0.0-M2/org.apache.nifi.processors.gcp.storage.FetchGCSObject/"
GetHBase,GetHBase,changed,"No cambios directos en las propiedades. La funcionalidad principal se mantiene. Requiere actualización del archivo NAR (`nifi-hbase-processors`) a la versión compatible con NiFi 2.x.","Revisar la compatibilidad del entorno con Java 21. Descargar y desplegar el archivo NAR `nifi-hbase-processors` compatible con NiFi 2.x. Asegurar la compatibilidad de los servicios de controlador de HBase.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M2/components/org.apache.nifi/nifi-hbase-nar/2.0.0-M2/org.apache.nifi.processors.hbase.GetHBase/"
GetHDFS,ListHDFS / FetchHDFS,deprecated,"El procesador `GetHDFS` fue deprecado en versiones anteriores de NiFi 1.x. No retiene el estado, lo que puede causar duplicación de datos. Requiere actualización del archivo NAR (`nifi-hadoop-nar`) a la versión compatible con NiFi 2.x.","Migrar a la combinación de `ListHDFS` y `FetchHDFS` para una ingestión de datos más fiable y con retención de estado. Revisar la compatibilidad del entorno con Java 21. Descargar y desplegar el archivo NAR `nifi-hadoop-nar` compatible con NiFi 2.x.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M2/components/org.apache.nifi/nifi-hadoop-nar/2.0.0-M2/org.apache.nifi.processors.hadoop.GetHDFS/"
GetJMS,ConsumeJMS,deprecated,"El procesador `GetJMS` está obsoleto. Se recomienda `ConsumeJMS` por su fiabilidad mejorada y capacidades de checkpointing.","Migrar a `ConsumeJMS` para aprovechar el seguimiento de puntos de control fiable y la distribución eficiente de mensajes. Revisar la compatibilidad del entorno con Java 21 y las librerías cliente de JMS.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M2/components/org.apache.nifi/nifi-jms-nar/2.0.0-M2/org.apache.nifi.processors.jms.ConsumeJMS/"
GetKafka,New controller service-based Kafka components (e.g., ConsumeKafkaRecord, PublishKafkaRecord),removed,"Todos los procesadores Kafka existentes en NiFi 1.x, incluyendo `GetKafka`, han sido eliminados y reemplazados por nuevos componentes basados en servicios de controlador en NiFi 2.0. Esto es un cambio drástico y no hay una ruta de actualización directa.","Reemplazar `GetKafka` con los nuevos componentes Kafka basados en servicios de controlador, como `ConsumeKafkaRecord` o `PublishKafkaRecord`, según la funcionalidad requerida. Se recomienda realizar esta migración en NiFi 1.x antes de la actualización a NiFi 2.0. Revisar la compatibilidad del entorno con Java 21.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M2/components/org.apache.nifi/nifi-kafka-2-6-nar/2.0.0-M2/org.apache.nifi.processors.kafka.pubsub.ConsumeKafkaRecord/"
GetMongo,GetMongo,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0. Asegurar que los drivers de MongoDB sean compatibles con NiFi 2.0 y la versión de MongoDB utilizada.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-mongodb-nar/2.0.0-M3/org.apache.nifi.processors.mongodb.GetMongo/"
GetRabbitMQ,ConsumeAMQP,active,"No hay un procesador `GetRabbitMQ` explícito. Se asume que se refiere a `ConsumeAMQP`. No hay cambios directos en las propiedades de `ConsumeAMQP`. La funcionalidad principal se mantiene.","Utilizar `ConsumeAMQP` para consumir mensajes de RabbitMQ. Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0. Asegurar que las librerías cliente de AMQP sean compatibles.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-amqp-nar/2.0.0-M3/org.apache.nifi.processors.amqp.ConsumeAMQP/"
GetSFTP,ListSFTP / FetchSFTP,deprecated,"El procesador `GetSFTP` ha sido deprecado en favor de `ListSFTP` y `FetchSFTP` para una mejor gestión de estado y eficiencia, especialmente en entornos de clúster.","Migrar a la combinación de `ListSFTP` y `FetchSFTP`. Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.GetSFTP/"
GetSQS,GetSQS,active,"No cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y seguir las guías generales de migración de NiFi 2.0. Asegurar que las credenciales de AWS y la versión del SDK de AWS sean compatibles.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-aws-nar/2.0.0-M3/org.apache.nifi.processors.aws.sqs.GetSQS/"
ConsumeKafka_2_6,"Nuevos componentes Kafka basados en Controller Service (ej. ConsumeKafkaRecord)",removed,"El procesador ha sido eliminado. La nueva arquitectura se basa en Controller Services para gestionar las conexiones de Kafka, desacoplando la configuración del procesador.","Reemplazar ConsumeKafka_2_6 por los nuevos componentes basados en servicios (ej. ConsumeKafkaRecord). Se recomienda realizar esta migración en NiFi 1.x antes de la actualización a NiFi 2.0 para facilitar el proceso. Requiere Java 21.","N/A","https://community.cloudera.com/t5/Community-Articles/Preparing-for-your-NiFi-1-x-to-2-0-Migration/ta-p/381551"
ConsumeKafkaRecord_1_0,ConsumeKafkaRecord_2_6,deprecated,"El procesador está obsoleto y es reemplazado por versiones más nuevas como la 2.6, que a su vez es reemplazada por la arquitectura de Controller Services en NiFi 2.0.","Migrar primero a ConsumeKafkaRecord_2_6 en NiFi 1.x y luego planificar la migración a los nuevos componentes basados en servicios de NiFi 2.0. Requiere Java 21 y posible reconfiguración de Kerberos.","N/A","https://community.cloudera.com/t5/Community-Articles/Preparing-for-your-NiFi-1-x-to-2-0-Migration/ta-p/381551"
ConsumeKafkaRecord_2_0,ConsumeKafkaRecord_2_6,deprecated,"Procesador obsoleto. Reemplazado por versiones más nuevas y, finalmente, por la arquitectura de Controller Services de NiFi 2.0.","Migrar a ConsumeKafkaRecord_2_6 como paso intermedio en NiFi 1.x antes de la migración final a la nueva arquitectura de Kafka en NiFi 2.0. Requiere Java 21.","N/A","https://community.cloudera.com/t5/Community-Articles/Preparing-for-your-NiFi-1-x-to-2-0-Migration/ta-p/381551"
ConsumeKafkaRecord_2_6,"Nuevos componentes Kafka basados en Controller Service",removed,"Este procesador, aunque es el más reciente de la serie 1.x, es eliminado en NiFi 2.0 y reemplazado por la nueva arquitectura de Controller Services.","Planificar la migración a los nuevos componentes basados en servicios de Kafka (ej. ConsumeKafkaRecord con un servicio de controlador) antes de actualizar a NiFi 2.0. Requiere Java 21.","N/A","https://community.cloudera.com/t5/Community-Articles/Preparing-for-your-NiFi-1-x-to-2-0-Migration/ta-p/381551"
ConvertRecord,ConvertRecord,active,"No hay cambios directos en el procesador. La migración se centra en los Controller Services asociados (Readers/Writers).","Asegurar que los Record Reader y Record Writer Services configurados sean compatibles con NiFi 2.0 y Java 21. Migrar cualquier uso de Variable Registry a Parameter Contexts.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ConvertRecord/"
CopyS3Object,CopyS3Object,active,"No se esperan cambios importantes en las propiedades. La funcionalidad se ha mejorado en NiFi 2.0.","Revisar la compatibilidad del entorno con Java 21 y las nuevas capacidades de S3. Asegurar que las credenciales de AWS (ej. AWSCredentialsProviderControllerService) sean compatibles.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-aws-nar/2.0.0-M3/org.apache.nifi.processors.aws.s3.CopyS3Object/"
CryptographicHashContent,CryptographicHashContent,active,"No se esperan cambios directos. Es el procesador moderno para hashing de contenido.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.CryptographicHashContent/"
DeleteSFTP,DeleteSFTP,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21. Tener en cuenta posibles cambios en la gestión de estado local del procesador. Migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.DeleteSFTP/"
DeleteSQS,DeleteSQS,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21. Asegurar que el AWSCredentialsProviderControllerService asociado sea compatible. Migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-aws-nar/2.0.0-M3/org.apache.nifi.processors.aws.sqs.DeleteSQS/"
